1st population
|VALUE: -5.103 GENE: 00000001110100101111 |VALUE: -5.546 GENE: 00000000111011000101 |RESULT: 0.753 
|VALUE: 3.745  GENE: 00010011110100111000 |VALUE: 3.298  GENE: 00010010111010101111 |RESULT: 13.268
|VALUE: 3.100  GENE: 00010010100000111011 |VALUE: 3.129  GENE: 00010010100100101110 |RESULT: 13.723
|VALUE: 3.100  GENE: 00010010100000111011 |VALUE: 3.129  GENE: 00010010100100101100 |RESULT: 13.723
|VALUE: 3.100  GENE: 00010010100000111011 |VALUE: 3.129  GENE: 00010010100100101100 |RESULT: 13.723
|VALUE: -4.732 GENE: 00000010100101000110 |VALUE: -4.703 GENE: 00000010101000111100 |RESULT: 5.355 
|VALUE: 3.344  GENE: 00010011000000101000 |VALUE: 3.741  GENE: 00010011110100010101 |RESULT: 13.900
|VALUE: 3.191  GENE: 00010010101100101100 |VALUE: 3.125  GENE: 00010010100100000111 |RESULT: 13.724
|VALUE: 3.098  GENE: 00010010100000101001 |VALUE: 3.126  GENE: 00010010100100010100 |RESULT: 13.718
|VALUE: 3.326  GENE: 00010010111110010010 |VALUE: 4.309  GENE: 00010100111110010101 |RESULT: 13.090
|VALUE: 2.968  GENE: 00010010001111101100 |VALUE: 3.021  GENE: 00010010010110100110 |RESULT: 13.489
|VALUE: 2.944  GENE: 00010010001100100111 |VALUE: 3.085  GENE: 00010010011110111100 |RESULT: 13.570
|VALUE: 3.191  GENE: 00010010101100101111 |VALUE: 3.124  GENE: 00010010100100000100 |RESULT: 13.724
|VALUE: -4.047 GENE: 00000011111110010000 |VALUE: -4.661 GENE: 00000010101110010111 |RESULT: 8.110 
|VALUE: 3.191  GENE: 00010010101100101111 |VALUE: 3.124  GENE: 00010010100100000100 |RESULT: 13.724
|VALUE: 2.968  GENE: 00010010001111101101 |VALUE: 3.021  GENE: 00010010010110100111 |RESULT: 13.489
|VALUE: 3.129  GENE: 00010010100100101001 |VALUE: 3.180  GENE: 00010010101011010100 |RESULT: 13.793
|VALUE: -5.719 GENE: 00000000100100100111 |VALUE: -5.640 GENE: 00000000101110111100 |RESULT: -1.501
|VALUE: 3.111  GENE: 00010010100010010100 |VALUE: 3.142  GENE: 00010010100110010111 |RESULT: 13.742
|VALUE: 3.125  GENE: 00010010100100001011 |VALUE: 3.169  GENE: 00010010101001111100 |RESULT: 13.780
|VALUE: 2.967  GENE: 00010010001111100011 |VALUE: 3.021  GENE: 00010010010110100100 |RESULT: 13.487
|VALUE: -4.046 GENE: 00000011111110011101 |VALUE: -4.661 GENE: 00000010101110010111 |RESULT: 8.116 


final population
____________________X____________________  ____________________Y____________________
|VALUE: 3.131  GENE: 00010010100100111100 |VALUE: 3.182  GENE: 00010010101011100111 |RESULT: 13.796
|VALUE: 3.098  GENE: 00010010100000101000 |VALUE: 3.126  GENE: 00010010100100010101 |RESULT: 13.718
|VALUE: 3.097  GENE: 00010010100000100000 |VALUE: 3.127  GENE: 00010010100100011010 |RESULT: 13.719
|VALUE: 3.094  GENE: 00010010100000000111 |VALUE: 3.127  GENE: 00010010100100011101 |RESULT: 13.718
|VALUE: 3.282  GENE: 00010010111000101000 |VALUE: 3.556  GENE: 00010011011100010101 |RESULT: 13.993
|VALUE: 3.100  GENE: 00010010100000111011 |VALUE: 3.114  GENE: 00010010100010101100 |RESULT: 13.701
|VALUE: 3.129  GENE: 00010010100100100111 |VALUE: 3.208  GENE: 00010010101110111100 |RESULT: 13.825
|VALUE: 3.111  GENE: 00010010100010010011 |VALUE: 3.142  GENE: 00010010100110010100 |RESULT: 13.742
|VALUE: 3.125  GENE: 00010010100100001011 |VALUE: 3.169  GENE: 00010010101001111100 |RESULT: 13.780
|VALUE: 3.326  GENE: 00010010111110010011 |VALUE: 4.309  GENE: 00010100111110010100 |RESULT: 13.090
|VALUE: 2.944  GENE: 00010010001100100111 |VALUE: 3.085  GENE: 00010010011110111100 |RESULT: 13.570
|VALUE: 3.620  GENE: 00010011100100100111 |VALUE: 3.699  GENE: 00010011101110111101 |RESULT: 13.582
|VALUE: 3.133  GENE: 00010010100101001011 |VALUE: 3.161  GENE: 00010010101000110010 |RESULT: 13.770
|VALUE: 3.094  GENE: 00010010100000000111 |VALUE: 3.127  GENE: 00010010100100011101 |RESULT: 13.718
|VALUE: 3.282  GENE: 00010010111000101000 |VALUE: 3.556  GENE: 00010011011100010101 |RESULT: 13.993
|VALUE: 3.190  GENE: 00010010101100100111 |VALUE: 3.331  GENE: 00010010111110111100 |RESULT: 13.939
|VALUE: 3.094  GENE: 00010010100000000111 |VALUE: 3.127  GENE: 00010010100100011101 |RESULT: 13.718
|VALUE: 3.436  GENE: 00010011001100101100 |VALUE: 3.739  GENE: 00010011110100000111 |RESULT: 13.819
|VALUE: 3.249  GENE: 00010010110100010011 |VALUE: 3.295  GENE: 00010010111010010100 |RESULT: 13.899
|VALUE: 3.098  GENE: 00010010100000101000 |VALUE: 2.865  GENE: 00010010000010010101 |RESULT: 13.262
|VALUE: 3.436  GENE: 00010011001100100111 |VALUE: 3.740  GENE: 00010011110100001100 |RESULT: 13.820
|VALUE: 3.437  GENE: 00010011001100110011 |VALUE: 3.741  GENE: 00010011110100010101 |RESULT: 13.818
|VALUE: 3.132  GENE: 00010010100101000110 |VALUE: 3.162  GENE: 00010010101000111100 |RESULT: 13.771
|VALUE: 3.099  GENE: 00010010100000110011 |VALUE: 3.113  GENE: 00010010100010100100 |RESULT: 13.700
|VALUE: 3.098  GENE: 00010010100000101001 |VALUE: 3.126  GENE: 00010010100100010100 |RESULT: 13.718
|VALUE: 3.745  GENE: 00010011110100111011 |VALUE: 3.298  GENE: 00010010111010101101 |RESULT: 13.267
|VALUE: 3.191  GENE: 00010010101100101100 |VALUE: 3.332  GENE: 00010010111111000111 |RESULT: 13.940
|VALUE: 3.100  GENE: 00010010100000111011 |VALUE: 3.129  GENE: 00010010100100101100 |RESULT: 13.723
|VALUE: -5.103 GENE: 00000001110100101111 |VALUE: -5.546 GENE: 00000000111011000101 |RESULT: 0.753 
|VALUE: 3.745  GENE: 00010011110100111000 |VALUE: 3.298  GENE: 00010010111010101111 |RESULT: 13.268
|VALUE: 3.100  GENE: 00010010100000111011 |VALUE: 3.129  GENE: 00010010100100101110 |RESULT: 13.723
|VALUE: 3.100  GENE: 00010010100000111011 |VALUE: 3.129  GENE: 00010010100100101100 |RESULT: 13.723
|VALUE: 3.100  GENE: 00010010100000111011 |VALUE: 3.129  GENE: 00010010100100101100 |RESULT: 13.723
|VALUE: -4.732 GENE: 00000010100101000110 |VALUE: -4.703 GENE: 00000010101000111100 |RESULT: 5.355 
|VALUE: 3.344  GENE: 00010011000000101000 |VALUE: 3.741  GENE: 00010011110100010101 |RESULT: 13.900
|VALUE: 3.191  GENE: 00010010101100101100 |VALUE: 3.125  GENE: 00010010100100000111 |RESULT: 13.724
|VALUE: 3.098  GENE: 00010010100000101001 |VALUE: 3.126  GENE: 00010010100100010100 |RESULT: 13.718
|VALUE: 3.326  GENE: 00010010111110010010 |VALUE: 4.309  GENE: 00010100111110010101 |RESULT: 13.090
|VALUE: 2.968  GENE: 00010010001111101100 |VALUE: 3.021  GENE: 00010010010110100110 |RESULT: 13.489
|VALUE: 2.944  GENE: 00010010001100100111 |VALUE: 3.085  GENE: 00010010011110111100 |RESULT: 13.570
|VALUE: 3.191  GENE: 00010010101100101111 |VALUE: 3.124  GENE: 00010010100100000100 |RESULT: 13.724
|VALUE: -4.047 GENE: 00000011111110010000 |VALUE: -4.661 GENE: 00000010101110010111 |RESULT: 8.110 
|VALUE: 3.191  GENE: 00010010101100101111 |VALUE: 3.124  GENE: 00010010100100000100 |RESULT: 13.724
|VALUE: 2.968  GENE: 00010010001111101101 |VALUE: 3.021  GENE: 00010010010110100111 |RESULT: 13.489
|VALUE: 3.129  GENE: 00010010100100101001 |VALUE: 3.180  GENE: 00010010101011010100 |RESULT: 13.793
|VALUE: -5.719 GENE: 00000000100100100111 |VALUE: -5.640 GENE: 00000000101110111100 |RESULT: -1.501
|VALUE: 3.111  GENE: 00010010100010010100 |VALUE: 3.142  GENE: 00010010100110010111 |RESULT: 13.742
|VALUE: 3.125  GENE: 00010010100100001011 |VALUE: 3.169  GENE: 00010010101001111100 |RESULT: 13.780
|VALUE: 2.967  GENE: 00010010001111100011 |VALUE: 3.021  GENE: 00010010010110100100 |RESULT: 13.487
|VALUE: -4.046 GENE: 00000011111110011101 |VALUE: -4.661 GENE: 00000010101110010111 |RESULT: 8.116 
